Image File,Indoor/ Outdoor,Type of Scene,Language,Country,State
IMG-01.jpg,Outdoor,temple/asia,"Kannada, English",India,Karnataka
IMG-02.jpg,Outdoor,"train_station/platform, railroad_track","Gujarati, English, Hindi, Urdu",India,Gujarat
IMG-03.jpg,Outdoor,"coffee_shop, shopfront",English,United States,Massachusetts
IMG-04.jpg,Outdoor,"street, highway",English,United Arab Emirates,Dubai
IMG-05.jpg,Indoor,"living_room, television_room, waiting_room",,India,
IMG-06.jpg,Outdoor,street,English,Australia,Victoria
IMG-07.jpg,Outdoor,campus,,Germany,
IMG-08.jpg,Outdoor,highway,English,United States,California
IMG-09.jpg,Outdoor,bus_station,English,United Kingdom,Plymouth
IMG-10.jpg,Outdoor,crosswalk,,United States,California
IMG-11.jpg,Outdoor,"downtown, street, hotel/outdoor",English,United States,Texas
IMG-12.jpeg,Outdoor,"downtown, hotel/outdoor","English, Malay, Chinese",Malaysia,Kuala Lumpur
IMG-13.jpg,Oudoor,street,"English, Tamil, Chinese, Japanese",Singapore,Singapore
IMG-14.jpg,Outdoor,"valley, mountain_path, mountain, forest/broadleaf, rainforest",,South Africa,
IMG-15.jpg,Indoor,booth/indoor,Swedish,Sweden,
IMG-16.jpg,Outdoor,"forest_path, forest/broadleaf, rainforest, forest_road",Japanese,Japan,
IMG-17.jpg,Indoor,chamber,,Australia,
IMG-18.jpg,Indoor,temple/asia,,Nepal,
IMG-19.jpg,Indoor,"dorm_room, art_school",,Japan,
IMG-20.jpeg,Indoor,"booth/indoor",English,United States,Alaska
